Data;date;Dia da Semana;Feriado
15/02/2010;2010-2-15;segunda-feira;Carnaval
16/02/2010;2010-2-16;terça-feira;Carnaval
02/04/2010;2010-4-2;sexta-feira;Paixão de Cristo
21/04/2010;2010-4-21;quarta-feira;Tiradentes
01/05/2010;2010-5-1;sábado;Dia do Trabalho
03/06/2010;2010-6-3;quinta-feira;Corpus Christi
07/09/2010;2010-9-7;terça-feira;Independência do Brasil
12/10/2010;2010-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2010;2010-11-2;terça-feira;Finados
15/11/2010;2010-11-15;segunda-feira;Proclamação da República
25/12/2010;2010-12-25;sábado;Natal
01/01/2011;2011-1-1;sábado;Confraternização Universal
07/03/2011;2011-3-7;segunda-feira;Carnaval
08/03/2011;2011-3-8;terça-feira;Carnaval
21/04/2011;2011-4-21;quinta-feira;Paixão de Cristo
22/04/2011;2011-4-22;sexta-feira;Tiradentes
01/05/2011;2011-5-1;domingo;Dia do Trabalho
23/06/2011;2011-6-23;quinta-feira;Corpus Christi
07/09/2011;2011-9-7;quarta-feira;Independência do Brasil
12/10/2011;2011-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2011;2011-11-2;quarta-feira;Finados
15/11/2011;2011-11-15;terça-feira;Proclamação da República
25/12/2011;2011-12-25;domingo;Natal
01/01/2012;2012-1-1;domingo;Confraternização Universal
20/02/2012;2012-2-20;segunda-feira;Carnaval
21/02/2012;2012-2-21;terça-feira;Carnaval
06/04/2012;2012-4-6;sexta-feira;Paixão de Cristo
21/04/2012;2012-4-21;sábado;Tiradentes
01/05/2012;2012-5-1;terça-feira;Dia do Trabalho
07/06/2012;2012-6-7;quinta-feira;Corpus Christi
07/09/2012;2012-9-7;sexta-feira;Independência do Brasil
12/10/2012;2012-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2012;2012-11-2;sexta-feira;Finados
15/11/2012;2012-11-15;quinta-feira;Proclamação da República
25/12/2012;2012-12-25;terça-feira;Natal
01/01/2013;2013-1-1;terça-feira;Confraternização Universal
11/02/2013;2013-2-11;segunda-feira;Carnaval
12/02/2013;2013-2-12;terça-feira;Carnaval
29/03/2013;2013-3-29;sexta-feira;Paixão de Cristo
21/04/2013;2013-4-21;domingo;Tiradentes
01/05/2013;2013-5-1;quarta-feira;Dia do Trabalho
30/05/2013;2013-5-30;quinta-feira;Corpus Christi
07/09/2013;2013-9-7;sábado;Independência do Brasil
12/10/2013;2013-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2013;2013-11-2;sábado;Finados
15/11/2013;2013-11-15;sexta-feira;Proclamação da República
25/12/2013;2013-12-25;quarta-feira;Natal
01/01/2014;2014-1-1;quarta-feira;Confraternização Universal
03/03/2014;2014-3-3;segunda-feira;Carnaval
04/03/2014;2014-3-4;terça-feira;Carnaval
18/04/2014;2014-4-18;sexta-feira;Paixão de Cristo
21/04/2014;2014-4-21;segunda-feira;Tiradentes
01/05/2014;2014-5-1;quinta-feira;Dia do Trabalho
19/06/2014;2014-6-19;quinta-feira;Corpus Christi
07/09/2014;2014-9-7;domingo;Independência do Brasil
12/10/2014;2014-10-12;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2014;2014-11-2;domingo;Finados
15/11/2014;2014-11-15;sábado;Proclamação da República
25/12/2014;2014-12-25;quinta-feira;Natal
01/01/2015;2015-1-1;quinta-feira;Confraternização Universal
16/02/2015;2015-2-16;segunda-feira;Carnaval
17/02/2015;2015-2-17;terça-feira;Carnaval
03/04/2015;2015-4-3;sexta-feira;Paixão de Cristo
21/04/2015;2015-4-21;terça-feira;Tiradentes
01/05/2015;2015-5-1;sexta-feira;Dia do Trabalho
04/06/2015;2015-6-4;quinta-feira;Corpus Christi
07/09/2015;2015-9-7;segunda-feira;Independência do Brasil
12/10/2015;2015-10-12;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2015;2015-11-2;segunda-feira;Finados
15/11/2015;2015-11-15;domingo;Proclamação da República
25/12/2015;2015-12-25;sexta-feira;Natal
01/01/2016;2016-1-1;sexta-feira;Confraternização Universal
08/02/2016;2016-2-8;segunda-feira;Carnaval
09/02/2016;2016-2-9;terça-feira;Carnaval
25/03/2016;2016-3-25;sexta-feira;Paixão de Cristo
21/04/2016;2016-4-21;quinta-feira;Tiradentes
01/05/2016;2016-5-1;domingo;Dia do Trabalho
26/05/2016;2016-5-26;quinta-feira;Corpus Christi
07/09/2016;2016-9-7;quarta-feira;Independência do Brasil
12/10/2016;2016-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2016;2016-11-2;quarta-feira;Finados
15/11/2016;2016-11-15;terça-feira;Proclamação da República
25/12/2016;2016-12-25;domingo;Natal
01/01/2017;2017-1-1;domingo;Confraternização Universal
27/02/2017;2017-2-27;segunda-feira;Carnaval
28/02/2017;2017-2-28;terça-feira;Carnaval
14/04/2017;2017-4-14;sexta-feira;Paixão de Cristo
21/04/2017;2017-4-21;sexta-feira;Tiradentes
01/05/2017;2017-5-1;segunda-feira;Dia do Trabalho
15/06/2017;2017-6-15;quinta-feira;Corpus Christi
07/09/2017;2017-9-7;quinta-feira;Independência do Brasil
12/10/2017;2017-10-12;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2017;2017-11-2;quinta-feira;Finados
15/11/2017;2017-11-15;quarta-feira;Proclamação da República
25/12/2017;2017-12-25;segunda-feira;Natal
01/01/2018;2018-1-1;segunda-feira;Confraternização Universal
12/02/2018;2018-2-12;segunda-feira;Carnaval
13/02/2018;2018-2-13;terça-feira;Carnaval
30/03/2018;2018-3-30;sexta-feira;Paixão de Cristo
21/04/2018;2018-4-21;sábado;Tiradentes
01/05/2018;2018-5-1;terça-feira;Dia do Trabalho
31/05/2018;2018-5-31;quinta-feira;Corpus Christi
07/09/2018;2018-9-7;sexta-feira;Independência do Brasil
12/10/2018;2018-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2018;2018-11-2;sexta-feira;Finados
15/11/2018;2018-11-15;quinta-feira;Proclamação da República
25/12/2018;2018-12-25;terça-feira;Natal
01/01/2019;2019-1-1;terça-feira;Confraternização Universal
04/03/2019;2019-3-4;segunda-feira;Carnaval
05/03/2019;2019-3-5;terça-feira;Carnaval
19/04/2019;2019-4-19;sexta-feira;Paixão de Cristo
21/04/2019;2019-4-21;domingo;Tiradentes
01/05/2019;2019-5-1;quarta-feira;Dia do Trabalho
20/06/2019;2019-6-20;quinta-feira;Corpus Christi
07/09/2019;2019-9-7;sábado;Independência do Brasil
12/10/2019;2019-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2019;2019-11-2;sábado;Finados
15/11/2019;2019-11-15;sexta-feira;Proclamação da República
25/12/2019;2019-12-25;quarta-feira;Natal
01/01/2020;2020-1-1;quarta-feira;Confraternização Universal
24/02/2020;2020-2-24;segunda-feira;Carnaval
25/02/2020;2020-2-25;terça-feira;Carnaval
10/04/2020;2020-4-10;sexta-feira;Paixão de Cristo
21/04/2020;2020-4-21;terça-feira;Tiradentes
01/05/2020;2020-5-1;sexta-feira;Dia do Trabalho
11/06/2020;2020-6-11;quinta-feira;Corpus Christi
07/09/2020;2020-9-7;segunda-feira;Independência do Brasil
12/10/2020;2020-10-12;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2020;2020-11-2;segunda-feira;Finados
15/11/2020;2020-11-15;domingo;Proclamação da República
25/12/2020;2020-12-25;sexta-feira;Natal
01/01/2021;2021-1-1;sexta-feira;Confraternização Universal
15/02/2021;2021-2-15;segunda-feira;Carnaval
16/02/2021;2021-2-16;terça-feira;Carnaval
02/04/2021;2021-4-2;sexta-feira;Paixão de Cristo
21/04/2021;2021-4-21;quarta-feira;Tiradentes
01/05/2021;2021-5-1;sábado;Dia do Trabalho
03/06/2021;2021-6-3;quinta-feira;Corpus Christi
07/09/2021;2021-9-7;terça-feira;Independência do Brasil
12/10/2021;2021-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2021;2021-11-2;terça-feira;Finados
15/11/2021;2021-11-15;segunda-feira;Proclamação da República
